Pick,Round,Team,Player,Season
1,1,406.l.103661.t.5,406.p.30121,2021
2,1,406.l.103661.t.8,406.p.30154,2021
3,1,406.l.103661.t.6,406.p.29279,2021
4,1,406.l.103661.t.9,406.p.30180,2021
5,1,406.l.103661.t.3,406.p.31005,2021
6,1,406.l.103661.t.4,406.p.30295,2021
7,1,406.l.103661.t.7,406.p.29238,2021
8,1,406.l.103661.t.2,406.p.32711,2021
9,1,406.l.103661.t.10,406.p.27581,2021
10,1,406.l.103661.t.1,406.p.30423,2021
11,2,406.l.103661.t.1,406.p.26686,2021
12,2,406.l.103661.t.10,406.p.30972,2021
13,2,406.l.103661.t.2,406.p.32736,2021
14,2,406.l.103661.t.7,406.p.33412,2021
15,2,406.l.103661.t.4,406.p.29399,2021
16,2,406.l.103661.t.3,406.p.28534,2021
17,2,406.l.103661.t.9,406.p.30161,2021
18,2,406.l.103661.t.6,406.p.28592,2021
19,2,406.l.103661.t.8,406.p.30996,2021
20,2,406.l.103661.t.5,406.p.31896,2021
21,3,406.l.103661.t.5,406.p.26650,2021
22,3,406.l.103661.t.8,406.p.32702,2021
23,3,406.l.103661.t.6,406.p.30977,2021
24,3,406.l.103661.t.9,406.p.31883,2021
25,3,406.l.103661.t.3,406.p.31908,2021
26,3,406.l.103661.t.4,406.p.32692,2021
27,3,406.l.103661.t.7,406.p.27589,2021
28,3,406.l.103661.t.2,406.p.31905,2021
29,3,406.l.103661.t.10,406.p.26699,2021
30,3,406.l.103661.t.1,406.p.32687,2021
31,4,406.l.103661.t.1,406.p.33138,2021
32,4,406.l.103661.t.10,406.p.32705,2021
33,4,406.l.103661.t.2,406.p.30259,2021
34,4,406.l.103661.t.7,406.p.30182,2021
35,4,406.l.103661.t.4,406.p.30123,2021
36,4,406.l.103661.t.3,406.p.30362,2021
37,4,406.l.103661.t.9,406.p.27535,2021
38,4,406.l.103661.t.6,406.p.28457,2021
39,4,406.l.103661.t.8,406.p.28392,2021
40,4,406.l.103661.t.5,406.p.31424,2021
41,5,406.l.103661.t.5,406.p.31856,2021
42,5,406.l.103661.t.8,406.p.30197,2021
43,5,406.l.103661.t.6,406.p.32066,2021
44,5,406.l.103661.t.9,406.p.31885,2021
45,5,406.l.103661.t.3,406.p.26664,2021
46,5,406.l.103661.t.4,406.p.31902,2021
47,5,406.l.103661.t.7,406.p.31919,2021
48,5,406.l.103661.t.2,406.p.29369,2021
49,5,406.l.103661.t.10,406.p.31002,2021
50,5,406.l.103661.t.1,406.p.30994,2021
51,6,406.l.103661.t.1,406.p.24793,2021
52,6,406.l.103661.t.10,406.p.31056,2021
53,6,406.l.103661.t.2,406.p.27277,2021
54,6,406.l.103661.t.7,406.p.31833,2021
55,6,406.l.103661.t.4,406.p.33392,2021
56,6,406.l.103661.t.3,406.p.30199,2021
57,6,406.l.103661.t.9,406.p.27548,2021
58,6,406.l.103661.t.6,406.p.31898,2021
59,6,406.l.103661.t.8,406.p.33423,2021
60,6,406.l.103661.t.5,406.p.31840,2021
61,7,406.l.103661.t.5,406.p.25785,2021
62,7,406.l.103661.t.8,406.p.32695,2021
63,7,406.l.103661.t.6,406.p.32685,2021
64,7,406.l.103661.t.9,406.p.28514,2021
65,7,406.l.103661.t.3,406.p.32703,2021
66,7,406.l.103661.t.4,406.p.33476,2021
67,7,406.l.103661.t.7,406.p.32719,2021
68,7,406.l.103661.t.2,406.p.29288,2021
69,7,406.l.103661.t.10,406.p.28403,2021
70,7,406.l.103661.t.1,406.p.31104,2021
71,8,406.l.103661.t.1,406.p.5228,2021
72,8,406.l.103661.t.10,406.p.29281,2021
73,8,406.l.103661.t.2,406.p.27540,2021
74,8,406.l.103661.t.7,406.p.28654,2021
75,8,406.l.103661.t.4,406.p.29785,2021
76,8,406.l.103661.t.3,406.p.31008,2021
77,8,406.l.103661.t.9,406.p.27648,2021
78,8,406.l.103661.t.6,406.p.31868,2021
79,8,406.l.103661.t.8,406.p.7200,2021
80,8,406.l.103661.t.5,406.p.30175,2021
81,9,406.l.103661.t.5,406.p.32732,2021
82,9,406.l.103661.t.8,406.p.30777,2021
83,9,406.l.103661.t.6,406.p.24171,2021
84,9,406.l.103661.t.9,406.p.32676,2021
85,9,406.l.103661.t.3,406.p.29344,2021
86,9,406.l.103661.t.4,406.p.31010,2021
87,9,406.l.103661.t.7,406.p.33393,2021
88,9,406.l.103661.t.2,406.p.30218,2021
89,9,406.l.103661.t.10,406.p.30209,2021
90,9,406.l.103661.t.1,406.p.30118,2021
91,10,406.l.103661.t.1,406.p.31001,2021
92,10,406.l.103661.t.10,406.p.31960,2021
93,10,406.l.103661.t.2,406.p.33398,2021
94,10,406.l.103661.t.7,406.p.31852,2021
95,10,406.l.103661.t.4,406.p.30117,2021
96,10,406.l.103661.t.3,406.p.33495,2021
97,10,406.l.103661.t.9,406.p.31031,2021
98,10,406.l.103661.t.6,406.p.25876,2021
99,10,406.l.103661.t.8,406.p.29307,2021
100,10,406.l.103661.t.5,406.p.32723,2021
101,11,406.l.103661.t.5,406.p.31051,2021
102,11,406.l.103661.t.8,406.p.32704,2021
103,11,406.l.103661.t.6,406.p.28691,2021
104,11,406.l.103661.t.9,406.p.30247,2021
105,11,406.l.103661.t.3,406.p.9265,2021
106,11,406.l.103661.t.4,406.p.33109,2021
107,11,406.l.103661.t.7,406.p.32712,2021
108,11,406.l.103661.t.2,406.p.28461,2021
109,11,406.l.103661.t.10,406.p.32756,2021
110,11,406.l.103661.t.1,406.p.27591,2021
111,12,406.l.103661.t.1,406.p.30153,2021
112,12,406.l.103661.t.10,406.p.33394,2021
113,12,406.l.103661.t.2,406.p.31164,2021
114,12,406.l.103661.t.7,406.p.30213,2021
