display_name,enabled,name,position_type,sort_order,stat_id,is_only_display_stat,game_id,league_id,stat_modifier
Pass Yds,1,Passing Yards,O,1,4,0,406,103661,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,406,103661,4.0
Int,1,Interceptions,O,0,6,0,406,103661,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,406,103661,
Rush Yds,1,Rushing Yards,O,1,9,0,406,103661,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,406,103661,6.0
Targets,1,Targets,O,1,78,1,406,103661,
Rec,1,Receptions,O,1,11,0,406,103661,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,406,103661,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,406,103661,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,406,103661,6.0
2-PT,1,2-Point Conversions,O,1,16,0,406,103661,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,406,103661,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,406,103661,6.0
PAT Made,1,Point After Attempt Made,K,1,29,0,406,103661,1.0
FG Yds,1,Field Goals Total Yards,K,1,84,0,406,103661,0.10000000149011612
FG Made,1,Field Goals Made,K,1,85,1,406,103661,
FG Miss,1,Field Goals Missed,K,0,86,1,406,103661,
Pts Allow,1,Points Allowed,DT,0,31,1,406,103661,
Sack,1,Sack,DT,1,32,0,406,103661,1.0
Int,1,Interception,DT,1,33,0,406,103661,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,406,103661,2.0
TD,1,Touchdown,DT,1,35,0,406,103661,6.0
Safe,1,Safety,DT,1,36,0,406,103661,2.0
Blk Kick,1,Block Kick,DT,1,37,0,406,103661,2.0
Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,406,103661,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,406,103661,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,406,103661,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,406,103661,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,406,103661,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,406,103661,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,406,103661,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,406,103661,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,406,103661,2.0
Pass Yds,1,Passing Yards,O,1,4,0,399,12514,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,399,12514,4.0
Pass Yds,1,Passing Yards,O,1,4,0,380,236583,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,380,236583,4.0
Int,1,Interceptions,O,0,6,0,380,236583,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,380,236583,
Rush Yds,1,Rushing Yards,O,1,9,0,380,236583,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,380,236583,6.0
Targets,1,Targets,O,1,78,1,380,236583,
Rec,1,Receptions,O,1,11,0,380,236583,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,380,236583,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,380,236583,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,380,236583,6.0
2-PT,1,2-Point Conversions,O,1,16,0,380,236583,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,380,236583,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,380,236583,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,380,236583,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,380,236583,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,380,236583,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,380,236583,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,380,236583,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,380,236583,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,380,236583,
Sack,1,Sack,DT,1,32,0,380,236583,1.0
Int,1,Interception,DT,1,33,0,380,236583,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,380,236583,2.0
TD,1,Touchdown,DT,1,35,0,380,236583,6.0
Safe,1,Safety,DT,1,36,0,380,236583,2.0
Blk Kick,1,Block Kick,DT,1,37,0,380,236583,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,380,236583,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,380,236583,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,380,236583,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,380,236583,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,380,236583,1.0
Int,1,Interceptions,O,0,6,0,399,12514,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,399,12514,
Rush Yds,1,Rushing Yards,O,1,9,0,399,12514,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,399,12514,6.0
Targets,1,Targets,O,1,78,1,399,12514,
Rec,1,Receptions,O,1,11,0,399,12514,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,399,12514,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,399,12514,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,399,12514,6.0
2-PT,1,2-Point Conversions,O,1,16,0,399,12514,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,399,12514,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,399,12514,6.0
PAT Made,1,Point After Attempt Made,K,1,29,0,399,12514,1.0
FG Yds,1,Field Goals Total Yards,K,1,84,0,399,12514,0.10000000149011612
FG Made,1,Field Goals Made,K,1,85,1,399,12514,
FG Miss,1,Field Goals Missed,K,0,86,1,399,12514,
Pts Allow,1,Points Allowed,DT,0,31,1,399,12514,
Sack,1,Sack,DT,1,32,0,399,12514,1.0
Int,1,Interception,DT,1,33,0,399,12514,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,399,12514,2.0
TD,1,Touchdown,DT,1,35,0,399,12514,6.0
Safe,1,Safety,DT,1,36,0,399,12514,2.0
Blk Kick,1,Block Kick,DT,1,37,0,399,12514,2.0
Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,399,12514,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,399,12514,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,399,12514,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,399,12514,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,399,12514,1.0
