clinched_playoffs,draft_grade,faab_balance,has_draft_grade,name,number_of_moves,number_of_trades,team_id,team_key,waiver_priority,roster_adds.coverage_value,roster_adds.value,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,manager_id,nickname,game_id,league_id
1.0,C,34.0,1,Harris & Harris RBs at Law 👨🏾‍⚖️,53,0,7,406.l.103661.t.7,7,18,0,6,0.6000000238418579,0,9,3.0,1560.300048828125,1799.5,1,loss,1,7,Greg,406,103661
1.0,B,0.0,1,Fantasy Sidelines,73,2,1,406.l.103661.t.1,8,18,0,4,0.7329999804496765,0,11,1.0,1658.43994140625,1725.3199462890625,2,win,1,1,Tim,406,103661
1.0,B-,0.0,1,Dak to the Future,30,2,2,406.l.103661.t.2,1,18,0,7,0.5329999923706055,0,8,4.0,1630.1199951171875,1648.4200439453125,3,loss,2,2,Wesley,406,103661
1.0,A-,0.0,1,King of the Hill,54,0,4,406.l.103661.t.4,2,18,0,5,0.6669999957084656,0,10,2.0,1600.3800048828125,1854.0799560546875,4,win,4,4,ryan,406,103661
,C,28.0,1,Push Ups in Prison,25,0,9,406.l.103661.t.9,3,18,0,10,0.3330000042915344,0,5,8.0,1698.3199462890625,1603.219970703125,5,loss,1,9,Pat,406,103661
,B,0.0,1,Fightin’ Blue Cock/Chubb/Wood,35,0,3,406.l.103661.t.3,10,18,0,7,0.5329999923706055,0,8,6.0,1662.56005859375,1612.4000244140625,6,loss,4,3,Kevin,406,103661
,C-,0.0,1,Wide Out University,37,0,6,406.l.103661.t.6,6,18,0,9,0.4000000059604645,0,6,5.0,1785.8399658203125,1758.1400146484375,7,win,2,6,Chris,406,103661
,C+,56.0,1,Poor Decisions 😢,32,1,8,406.l.103661.t.8,9,18,0,8,0.46700000762939453,0,7,7.0,1600.5799560546875,1638.6800537109375,8,win,4,8,Peter Billups,406,103661
,A,44.0,1,Team 10,43,1,10,406.l.103661.t.10,5,18,0,9,0.4000000059604645,0,6,,1719.8199462890625,1500.52001953125,8,win,1,10,James,406,103661
,A-,60.0,1,The Titanic,12,0,5,406.l.103661.t.5,4,18,0,10,0.3330000042915344,0,5,,1685.9599609375,1462.0400390625,10,loss,3,5,Jeremy,406,103661
