Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Kevin,12,1449.2,1185.1599999999999,1,314.l.731544.t.8,0,25,Dirty Duke Dawgs,B,1,2013
Ryan,7,1393.92,1258.4799999999998,2,314.l.731544.t.2,1,35,Riley KKKooper,C+,3,2013
Tim,1,1404.26,1283.7,3,314.l.731544.t.5,4,61,Vagina Slappers,B,2,2013
James,5,1471.16,1321.0800000000002,4,314.l.731544.t.4,3,35,Shinnanigons,B,4,2013
--hidden--,9,1229.94,1233.9199999999998,5,314.l.731544.t.12,2,8,Free Mustache Rides,C,6,2013
Greg,10,1312.98,1344.1,6,314.l.731544.t.10,2,30,Jacquizz on yo face,B,8,2013
--hidden--,6,1349.28,1311.1000000000001,7,314.l.731544.t.11,1,12,Talk Dirty to Me,C,5,2013
Jake,11,1166.12,1348.3,8,314.l.731544.t.1,0,10,Jake's Team,C,7,2013
--hidden--,4,1248.3,1357.92,9,314.l.731544.t.9,2,12,Cleveland Steamers,A+,,2013
Brian,8,1204.2,1303.72,10,314.l.731544.t.6,1,1,Brian Dawson's Team,B,,2013
Pat,2,1153.0,1342.76,11,314.l.731544.t.3,0,12,Ridley Me This,B-,,2013
Wes,3,1221.08,1313.1999999999998,12,314.l.731544.t.7,2,32,Johnson and Johnson,B,,2013
